Substation,Latitude,Longitude
Babatngon,11.2425,124.9531
Sta Rita Tap,11.1752,125.0085
Sta. Rita,11.1739,125.0122
Paranas,11.78369,125.04544
Calbayog,12.05438,124.63499
Isabel,10.92217,124.46326
Tongonan,11.1792,124.6969
Ormoc,11.0072,124.6073
Maasin,10.1335,124.8445
Kananga,11.1114,124.5344
Tabango,11.3749,124.4774
Ubay,9.9709,124.5507
Corella,9.6744,123.8885
PGPP1,10.4917,123.7912
PGPP2,10.4861,123.7999
Kabankalan Bess,9.983,122.8146
Amlan,9.51354,123.31253
Mabinay,9.76642,122.99375
Bacolod,10.6407,122.9685
Kabankalan,9.9968,122.8101
Helios,10.6407,122.9685
Cadiz,10.9484,123.308
Daan Bantayan,11.25271536,124.0669362
Compostela,10.463,124.0006
Cebu,10.3157,123.8854
Mandaue,10.3237,123.9224
Lapu-Lapu,10.3103,123.982
Quiot,10.3549,123.936
Samboan,9.532,123.369
Naga,10.2425,123.7556
Therma Visayas,10.3128,123.9425
Magdugo,10.302,123.9651
Colon,10.2917,123.8913
DaangLungsod,10.3071,123.9067
Calung-Calung,10.3314,123.9476
Toledo,10.3856,123.6401
KSPC,10.4454,123.6849
Concepcion,11.2219,123.1683
Barotac Viejo,11.0091,122.6929
Dingle,11.0312,122.6548
Panit-an,11.3625,122.5017
Nabas,11.9107,121.9719
San Jose,10.80020604,121.9703746
Sta. Barbara S/S,10.8177,122.6035
Iloilo 1,10.7202,122.5711
Buenavista,10.72780135,122.660959
